"고유번호","언어","상호명","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"2586","en","Jogyesa Temple","110-170 45 Gyeonji-dong Jongno-gu Seoul "," 03144 55 Ujeongguk-ro Jongno-gu Seoul ","+82-2-768-8600","+82-2-720-1391","http://www.jogyesa.kr/user/english/","Opening hours vary depending on what Buddhist ceremonies are taking place and the temple schedule","","","- Anguk Station (subway line 3) exit 6 10 min. away on foot - Gwanghwamun Station (subway line 5) exit 2 15 min. away on foot - Jonggak Station (subway line 1) exit 2 10 min. away on foot","Historic SiteJonggak StationBuddhismGwanghwamun StationJogyesa TempleHistoryReligious SiteAnguk StationTemple","Accessible Pathways"
"549","en","Jongmyo Shrine","110-400 Jongno Jongno-gu Seoul ","03135 157 Jong-ro Jongno-gu Seoul ","+82-2-765-0195","","http://english.cha.go.kr/html/HtmlPage.do?pg=/royal/jongmyoShrine.jsp&mn=EN_02_05","Spring & Fall (February - May September - October) 09:00 - 18:00 (Last entry at 17:00) Summer (June - August) 09:00 - 18:30 (Last entry at 17:30) Winter (November - January) 09:00 - 17:30 (Last entry at 16:30)  ※ Please refer to the website ","","Tuesdays ","Subway Line 1/3/5 Jongno 3(sam)-ga Station Exits 8 & 11 (5 mins on foot)","ArchitectureGwanghwamunUNESCOChangdeokgungHistoricalSiteChanggyeonggungJongmyo","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible PathwaysAccessible Restrooms"
"3102","en","Kumho Museum of Art","110-061 78 Sagan-dong Jongno-gu Seoul ","110-061 18 Samcheong-ro Jongno-gu Seoul ","+82-2-720-5114","+82-2-720-6474","http://www.kumhomuseum.com/eng/","Daily 10:00 - 18:00 (KST) (Last entry at 17:30)","","Closed Mondays Lunar New Year's Day & Chuseok","* Subway Line 3 Gyeongbokgung Station Exit 5 (10 mins on foot) * Subway Line 3 Anguk Station Exit 1 (10 mins on foot) * Subway Line 5 Gwanghwamun Station Exit 2 (15 mins on foot)","AngukStationKumhoMuseumOfArtGwanghwamunStationArtGyeongbokgungStationCultureMuseumGallery","Accessible Parking"
"6958","en","Kyung Hee University Natural History Museum","130-050 1 Hoegi-dong Dongdaemun-gu Seoul ","02447 26 Kyungheedae-ro Dongdaemun-gu Seoul ","+82-2-961-0142","","https://nhm.khu.ac.kr/contents/01_eng_introduce.php","Daily 10:00 - 17:00 ","","Closed weekends & holidays","* Subway Line 1 Hoegi Station Exit 1 * Subway Line 1 Hankuk University of Foreign Studies Station Exit 1","ScienceHoegiStationSedimentaryRockKyungHeeUniversityNaturalHistoryMuseumExhibitionKyungheeUniversityNaturalHistoryIgneousRockMuseum","Accessible Parking"
"1236","en","Leeum Museum of Art ","140-893 60-16 Itaewon-ro 55-gil Yongsan-gu Seoul ","04348 60-16 Itaewon-ro 55-gil Yongsan-gu Seoul ","+82-2-2014-6901","","http://leeum.samsungfoundation.org/html/global/main.asp","Daily 10:30 - 18:00 ","","Closed Mondays New Year's weekend New Year's Day & Chuseok","Subway Line 6 Hangangjin Station Exit 1 (10 mins on foot)","ArtExperienceSamsungMuseumOfArtHangangjinStationCultureLeeumGalleryItaewon","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"1250","zh-CN","Leeum美术馆","140-893 首尔市龙山区黎泰院路55街60-16  ","04348 首尔市龙山区黎泰院路55街60-16  ","+82-2-2014-6901","","http://leeum.samsungfoundation.org/html/global/main.asp","10:30 ~ 18:00  周二到周日10:30 ~ 18:00，闭馆前一小时禁止入场","星期二 星期三 星期四 星期五 星期六 星期天","每周一、每年1月1日、春节、中秋","6号线 汉江镇站1号出口出来后步行10分钟   ","三星美术馆博物馆教育文化中心龙山艺术梨泰院美术作品","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"1253","zh-TW","Leeum美術館","140-893 首爾市龍山區梨泰院路55街60-16 ","04348 首爾市龍山區梨泰院路55街60-16 ","+82-2-2014-6901","","http://leeum.samsungfoundation.org/html/global/main.asp","10:30~18:00 (*閉館前一小時截止入場)","星期二~星期日","週一、元旦、春節、中秋節","6號線漢江鎮站1號出口步行10分鐘","Leeum文化美術館梨泰院Leeum三星美術館漢南洞藝術","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"1244","ja","Leeum美術館","140-893 ソウル市龍山区漢南洞742-1 ","04348 ソウル市ヨンサン(龍山)区イテウォンロ55ギル60-16  (漢南洞)","+82-2-2014-6901","","http://leeum.samsungfoundation.org/html/global/main.asp","10:30-18:00  ※入場は閉館1時間前まで","","月曜日、1月1日、旧正月連休、秋夕(旧盆)連休","地下鉄6号線「ハンガンジン」駅1番出口から徒歩10分   ","サムスン美術館Leeumソウル美術館三星美術館Leeum韓国美術館梨泰院ギャラリーリウム美術館文化ハンガンジン駅展望台美術館","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"21380","en","Lotte World Tower","138-240 29 Sincheon-dong Songpa-gu Seoul ","05551 300 Olympic-ro (Sincheon-dong) Songpa-gu Seoul ","+82-2-3213-5000","","http://www.lwt.co.kr/en/main/main.do","Please refer to the website.","","Open year round","Subway Lines 2 & 8 Jamsil Station Exits 2 & 11 (5 mins on foot)","LotteWorldTowerDutyFreeObservatoryAquariumLotteWorld DepartmentStoreSeoulSkyJamsil","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"23833","en","Mongchon Museum Of History","138-749 88-3 Bangi-dong Songpa-gu Seoul ","05540 424 Olympic-ro Songpa-gu Seoul ","+82-2-2152-5900","","http://baekjemuseum.seoul.go.kr/dreamvillage/","Daily 09:00 - 18:00","","Closed Mondays & New Year's Day","* Subway Line 5 Olympic Park Station Exit 3 * Subway Line 8 Mongchontoseong Station Exit 1","HistoryOlympicParkStationExhibitionJamsilSeoulBaekjeMuseumMongchonMuseumOfHistoryBaekjeMongchontoseongStationOlympicParkMuseum","Accessible PathwaysAccessible Restrooms"
"11472","en","Myeong-dong Tourist Information Center","  ","04538 66 Eulji-ro Jung-gu Seoul ","+82-2-778-0333","","https://www.instagram.com/ticmyeongdong/","Myeong-dong Tourist Information Center / Souvenir Shop - 09:00 - 18:00","","Lunar New Year's Day Chuseok","- Euljiro 1(il)-ga Station (subway line 2) exit 5 6","HanbokGift ShopMyeong-dong StationHandicraftsMyeong-dongMyeong-dong Tourist Information CenterShoppingMedical TourismTourism Help DeskTourism Information Center","Accessible Pathways"
"4036","en","Myeongdong Cathedral","100-022 1-1 Myeongdong 2(i)-ga Jung-gu Seoul ","100-022 74 Myeongdong-gil Jung-gu Seoul ","+82-2-774-1784","","http://www.mdsd.or.kr","","","Closed Mondays","* Subway Line 4 Myeongdong Station Exit 9 * Subway Line 2 Euljiro 1(il)-ga Station Exit 5 * Subway Line 2 Euljiro 3(sam)-ga Station Exit 12","HistoricSiteCatholicismSeongmoDongsanReligiousSiteMyeongdongCathedralHistory","Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"37","en","Namsan Seoul Tower ","140-022 1-3 Yongsan-dong  2(i)-ga Mt Yongsan-gu Seoul Korea ","04340 105 Namsangongwon-gil Yongsan-gu Seoul Korea (Yongsan-dong 2-ga YTN Seoul Tower)","+82-2-3455-9277","","http://www.seoultower.co.kr/en/","Weekdays 12:00 - 21:00 Weekends & Public Holidays 11:00 - 21:00 *Last entry 30 minutes before close*","","","Subway Line 6 Itaewon Station Exit 4 (Take bus No. 03 → Get off at Namsan Seoul Tower) Subway Lines 3 & 4 Chungmuro Station Exit 2 (Take bus No. 02 or 05 → Get off at Namsan Seoul Tower) Subway Line 3 Dongguk Univ. Station Exit 2 (Take bus No. 02 → Get off at Namsan Seoul Tower)","ViewDateRomanticNightscapeObservatoryNSeoulTowerCableCarSeoulNamsanMyeongdongNamsanTower","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible PathwaysAccessible RestroomsElevators"
"5763","en","National Assembly Building","150-701 1 Yeouido-dong Yeongdeungpo-gu Seoul ","07233 1 Uisadang-daero Yeongdeungpo-gu Seoul ","+82-2-6788-2114","+82-2-788-3664","http://korea.assembly.go.kr/","Daily 09:00 - 18:00 KST & Saturday 08:00 - 17:00 KST (Lunch Time 12:00 - 13:00 KST)  * Entrance closes 1 hour prior to closing time","","Closed Sundays holidays & May 31st","Subway Line 9 National Assembly Station Exits 1 & 6  ","DemocracyLibraryHumanRightsAssemblyNationalAssemblyMembersOfficeBuildingHistoryYeouidoNationalAssemblyStation","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"1645","en","National Folk Museum of Korea","110-820 Sejongno Jongno-gu Seoul 1-1"," 03045 37 Samcheong-ro Jongno-gu Seoul ","+82-2-3704-3114","+82-2-3704-3113","https://www.nfm.go.kr/english/index.do","[Fridays & Saturdays 9:00 - 21:00 (Last entry at 20:00)] * March - October 09:00 - 18:00 (Last entry at 17:00) * November - February 09:00 - 17:00 (Last entry at 16:00) * June - August 09:00 - 19:00 (Last entry at 18:00)","","","* Subway Line 3 Gyeongbokgung Station Exit 5 (5 mins on foot) * Subway Line 5 Gwanghwamun Station Exit 2 (10 mins on foot)","FolkCultureNationalFolkMuseumOfKoreaGyeongbokgungPalaceGyeongbokgungStationMuseumFolkArtsHistoryTraditionalCultureGyeongbokgung","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible Restrooms"
"35562","en","National Hangeul Museum"," 168-6 Yongsan-dong 6(yuk)-ga Yongsan-gu Seoul ","04383 139 Seobinggo-ro Yongsan-gu Seoul ","+82-2-2124-6200","","https://www.hangeul.go.kr/lang/en/","10:00 - 18:00 ","Mon - Sun","January 1 Lunar New Year's Day Chuseok * Closed days of the Hangeul Library: Saturdays Sundays and public holidays (except Hangeul Day)","Subway Line 4 / Gyeongui Jungang Line Ichon Station Exit 2","HangeulKingSejongtheGreatSeoulMuseumsNationalHangeulMuseumHunminjeongeumHangeulMuseum","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"40774","en","National Meteorological Museum of Korea","  ","03178 52 Songwol-gil Jongno-gu Seoul ","+82-70-7850-8493 ","","https://science.kma.go.kr/museum","10:00  - 18:00","Tuesday - Sunday","Mondays January 1 Lunar New Year’s Day and Chuseok","Subway Line 5 Seodaemun Station Exit 4","Fall foliageObservatory100-year ObservatoryHanyangdoseongGyeonghuigung PalaceWeatherCherry BlossomsNational Meteorological Museumthe Seoul City WallOldest Rain Gauge PedestalRain Gauge PedestalSeoul Meteorological Observatory","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible RestroomsElevators"
"6667","en","National Museum of Korean Contemporary History","03141 82-1 Sejongno Jongno-gu Seoul ","03141 198 Sejong-daero Jongno-gu Seoul ","+82-2-3703-9200","+82-2-3703-9216","http://www.much.go.kr/en/mainen.do","Mon Tues Thu Fri Sun 10:00 - 18:00 KST / Wed Sat 10:00 - 21:00 KST ","","Closed on New Year's Day & Chuseok","* Subway Line 3 Gyeongbokgung Station Exit 6 * Subway Line 5 Gwanghwamun Station Exit 2 * Subway Line 1 Jonggak Station Exits 1 & 2","ObservatoryJonggakStationNightscapeNationalMuseumOfKoreanContemporaryHistoryDeclarationOfIndependenceMuseumGwanghwamunExhibitionSeoulMuseum","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"11658","en","National Museum of Modern and Contemporary Art Seoul"," Samcheong-dong Jongno-gu Seoul "," 30 Samcheong-ro Jongno-gu Seoul ","+82-2-3701-9500","","http://www.mmca.go.kr/eng/","Mondays Tuesdays Thursdays Fridays and Sundays 10:00 - 18:00 (KST) Wednesdays & Saturdays 10:00 - 21:00 (KST) * Special Night Exhibition 18:00 - 21:00 (KST) * Last Entry: 1 Hour Before Closing Time","Monday - Sunday","New Year's Day Lunar New Year's Day & Chuseok ","Subway Line 3 Anguk Station Exit 1 ","ArtSeoulMuseumContemporaryArtArtMuseumHistoryMuseumNationalMuseumOfHistoryHistory","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"20602","en","National Palace Museum of Korea","110-820 1-57 Sejong-ro Jongno-gu Seoul ","03045 12 Hyoja-ro Jongno-gu Seoul ","+82-2-3701-7500","","http://www.gogung.go.kr/fore/main.do?pLng=en","Daily 10:00 - 18:00  * Wednesday · Saturday 10:00 - 21:00","","Open year round","Subway Line 3 Gyeongbokgung Station Exit 5","CulturalPropertyNationalPalaceMuseumOfKoreaGyeongbokgungStationArtifactMuseumTourismExhibitionAttraction","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible Restrooms"
"1418","en","Seonjeongneung (Tomb)","135-090 135-4 Samseong-dong Gangnam-gu Seoul ","135-090 1 Seolleung-ro 100-gil Gangnam-gu Seoul ","+82-2-568-1291","+82-2-568-0773","http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08","March - October Daily 06:00 - 21:00  November - January Daily 06:00 - 17:30  February 06:00 - 18:00","","Closed Mondays","Subway Line 2 & Bundang Line Seolleung Station Exit 10 Subway Line 9 Seonjeongneung Station Exit 3  ","WorldCulturalHeritagePlacesToVisitInSeoulSeoulDateSpotRecommendationJeonneungSeoulParkSeolleungStationUNESCOinTheCitySeolleungParkDateSeonjeongneungSeoulHistoricalPlacesCulturalHeritageSeolleungDateSpot","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible Restrooms"
"11612","en","Seoul Baekje Museum","138-050 Bangi dong Songpa-gu Seoul 88-20","05540 71 Wiryeseong-daero Songpa-gu Seoul ","+82-2-2152-5800","+82-2-2152-5879","","* Weekdays 09:00 - 21:00 * Weekends 09:00 - 19:00 (November - February 09:00 - 18:00)","","Closed Mondays & New Year's Day (Museum opens on holidays that fall on a Monday)","* Subway Line 8 Mongchontoseong Station Exit 1 (650 m on foot) * Subway Line 5 Olympic Park Station Exit 3 (1 km on foot)","Culture4DVideoZoneMuseumOlympicParkExhibitionMongchontoseongStationSeoulBaekjeMuseumHistoricalSiteOlympicParkStation","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"10233","en","Seoul Metropolitan Library"," Jung-gu Seoul Taepyeong-ro 1-ga 31"," 04524  110 Sejong-daero Jung-gu Seoul ","+82-2-2133-0300","","http://lib.seoul.go.kr/rwww/html/en/main.jsp","* Weekdays 09:00 - 21:00 KST * Weekends 09:00 - 18:00 KST","","Closed Mondays","Subway Lines 1 & 2 City Hall Station Exits 4 & 5","SeoulCityHallHistoricSiteGwanghwamunBooksPublicLibraryLibrarySeoulMetropolitanLibraryArchitectureEuljiro","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible PathwaysAccessible RestroomsElevators"
"11473","ja","ミョンドン(明洞)観光情報センター"," ソウル市中区乙支路2街 181 外換銀行本店別館1階"," ソウル市チュン(中)区ウルチロ66 (乙支路2街)","+82-2-778-0333","","https://www.instagram.com/ticmyeongdong","ミョンドン(明洞)観光情報センター / ギフトショップ 09:00～18:00","","旧正月および秋夕(旧暦8月15日)当日 毎週日曜日","地下鉄2号線「ウルチロイプク」駅 5番、6番出口","観光案内情報センター観光案内明洞ランドマーク","アクセシビリティ"
"1537","en","Seoul Museum of Art (Seosomun Main Building)","100-813 Seosomun-dong Jung-gu Seoul ","04515 61 Deoksugung-gil Jung-gu Seoul ","+82-2-2124-8800","","http://sema.seoul.go.kr/global/eindex.jsp","(March - October) Tuesdays - Fridays 10:00 - 20:00 / Weekends 10:00 - 19:00 (November - February) Tuesdays - Fridays 10:00 - 20:00 / Weekends 10:00 - 18:00 ※ Culture Day - Museum main building Buk Seoul Museum: last Wednesday of the month 10:00 - 22:00","","New Years Day","Subway Lines 1 & 2 City Hall Station Exit 10 Subway Line 5 Seodaemun Station Exit 6","SeoulMuseumOfArtGwanghwamunSeMADeoksugungPalaceSeoulFilmingLocationSeosomunArchitectureSeodaemunStationHistoricSiteMuseum","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"33884","en","Sungshin Women's University Costume Museum and Natural History Museum","  ","01133 55 Dobong-ro 76ga-gil Gangbuk-gu Seoul (Woonjung Green Campus B1)","Costume Museum: +82-2-920-2657<br>Natural History Museum: +82-2-920-7890","+82-2-920-2796","https://www.sungshin.ac.kr/sites/museum/index.do","Mon - Sat 10:00 - 17:00 (Closed Sundays and Legal Holidays)","","","Subway Line 4 Mia Station Exit 2 (10 mins on foot)","SeoulUniversityMuseumSungshinNatureHistoryCostumeLearning","Accessible ParkingAccessible RestroomsElevators"
"456","en","The National Museum of Korea","  ","04383 137 Seobinggo-ro Yongsan-gu Seoul ","+82-2-2077-9000","","https://www.museum.go.kr/site/eng/home","- Mon Tues Thur Fri Sunday 10:00 - 18:00 KST - Wed Saturday 10:00 - 21:00 KST *  Outside exhibitions may be viewed from 07:00 KST","","* Closed on Mondays January 1st Lunar New Year's Day Chuseok * Permanent exhibitions close every first Monday in April and October (April 6 2020 & November 2 2020) ※ The special exhibition hall children's museum and outside exhibition hall remain open","Subway Line 4 & Gyeongui-Jungang Line Ichon Station Exit 2 (150 m on foot)","ExhibitionsMuseumChildrensMuseumTraditionNationalMuseumOfKoreaYongsanLearningKoreaCultureHistory","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"2725","en","The Seoul Museum of History","110-062 2-1 Sinmunno 2(i)-ga Jongno-gu Seoul 2-1","03177 55 Saemunan-ro Jongno-gu Seoul ","+82-2-724-0274","","http://eng.museum.seoul.kr/eng/index.do","KST 09:00 - 18:00","","Closed Mondays & New Year's Day","* Subway Line 3 Gyeongbokgung Station Exit 7 * Subway Line 5 Seodaemun Station Exit 4 (300 m on foot) * Subway Line 5 Gwanghwamun Station Exits 7 & 8 (400 m on foot)","MuseumHistoryGwanghwamunSeoulMuseumOfHistoryGyeongbukgungPalaceSeodaemunStationCultureExperience","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"5467","en","The Story of King Sejong • The Story of Admiral Yi Sunshin","110-050 Sejong-no Jongno-gu Seoul (B2 Sejong Center for the Performing Arts)","03172 175 Sejong-daero Jongno-gu Seoul ","+82-2-399-1000","","https://www.sejongstory.or.kr/engStory/main/main.do","Daily 10:00 - 18:30 (Last entry at 18:00 ) *Closed Mondays*","","","* Subway Line 3 Gyeongbokgung Station Exit 6    * Subway Line 5 Gwanghwamun Station Exit 2 (30 m on foot) * Subway Line 1 Jonggak Station Exit 1","GwanghwamunPlazaSejongCenterForThePerformingArtsGyeongbukgungStationKingSejongYiSunshinMuseumExhibition","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible PathwaysAccessible RestroomsElevators"
"864","en","The War Memorial of Korea","140-021 Yongsandong 1(il)-ga Yongsan-gu Seoul 8 ","04353 29 Itaewon-ro Yongsan-gu Seoul ","+82-2-709-3114","+82-2-709-3100","https://www.warmemo.or.kr/LNG/main.do?lan=en","Daily 09:30 - 18:00 ","","Closed Mondays & the day following national holidays","* Subway Line 6 Samgakji Station Exit 1 (5 mins on foot)  * Subway Line 1 Namyeong Station Exit 1 (10 mins on foot)    * Subway Line 4 Samgakji Station Exits 11 & 12 (3 mins on foot)","YongsanWarMemorialOfKoreaWarMemorialOfKoreaYongsanChildrensMuseumWhereToGoInSeoulKoreanWarWhereToBringKidsInSeoulWarMemorialForKids","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible RestroomsElevators"
"1155","en","Yanghwajin Foreign Missionary Cemetery","121-883 46 Yanghwajin-gil Mapo-gu Seoul ","04084 46 Yanghwajin-gil Mapo-gu Seoul ","+82-2-332-9174","","http://www.yanghwajin.net/v2/index.html","Daily 10:00 - 17:00 (KST)","","Closed Sundays ※ Guided tours are not offered on Sundays Jan. 1st Lunar New Year Chuseok and Christmas","Subway Lines 2 & 6 Hapjeong Station Exit 7","HongdaeMemorialForeignMissionaryCemeteryHapjeongHistoricSiteYanghwajin","Accessible ParkingAccessible PathwaysAccessible Restrooms"
